objectid,col_name,col_uid,st_name,st_abb,cnty_name,datasource,src_name,alt_name,alt_name2,alt_name3,mnumber,color_clas,tot_prisco,rec_complt,numlots,numoccupie,estimatedp,wtr_srcdes,wtr_hauled,priv_wells,wc_exists,wc_wtrcomm,dwuid,wc_nearwcom,dwuid_near,os_otrsupp,is_srcadeq,wc_adeq,wc_adeqdes,wc_hlth,wc_hlthdes,ww_public,ww_wwcomm,wwuid,ww_nearwwcom,wwuid_near,ww_prvser,ww_prvnm,ww_other,ww_adeq,ww_adeqdes,ww_hlth,ww_hlthdes,ppl_nowat,ppl_nowat_r,ppl_noww,ppl_noww_r,ppl_yeswat,ppl_yeswat_r,ppl_yesww,ppl_yesww_r,allpotable,infloodp,fac_propos,fac_type,fac_cst,fac_avgcst,fac_capcst,fac_comcap,fac_ta,fac_tades,fac_feasib,con_last,con_first,con_type,con_title,con_org,con_email,con_add,con_city,con_state,con_zip,con_phone,con_mobile,con_notes,con_last2,con_first2,con_type2,con_title2,con_org2,con_email2,con_add2,con_city2,con_state2,con_zip2,con_phone2,con_mobil2,con_notes2,created_user,created_date,last_edited_user,last_edited_date,fy2018_project,fy2019_project,fy2020_project,fy2021_project,fy2022_project,Unnamed: 98,Unnamed: 99
99,Olivarez,P1R481054,Texas,TX,Hidalgo,HUD,Olivarez,,,,M1080905,Gray,5,Y,0,0,0,,N,N,N,,,NORTH ALAMO WSC,DW160,,N,N,,N,,N,,,,,N,,,N,,N,,0,0,0,0,0,0,0,0,N,N,,,0,  ,,,N,, ,AGUIRRE,JESSE,Utility,ASSISTANT GENERAL MANAGER,NORTH ALAMO WSC,jaguirre@nawsc.com,420 S. DOOLITTLE RD.,EDINBURG,TX,78542,(956) 383-1623,,? LOCATION point in field E of Tropical Farms Subd. Check SUBD Location and NAWSC list.,,,,,,,,,,,,,,,,,,,,,,,,
116,"Elephant Head, Community of",P1R040034,Arizona,AZ,Pima,RCAP Staff,,,,,,Purple,2,Y,0,149,612,Hauling,Y,Y,N,,,SAHAURITA,DW196,private wells,N,N,water not plentiful in area,N,,N,,,TOWN OF SAHUARITA,WW019,N,,on site,Y,,N,,612,1,612,1,0,0,0,0,N,N,Water distribution,Water,8000000,  ,,"Higher income, remote/perfer large lots",N,,Distance and size of community vs cost/residents perfer remote life style,,,County,COUNTY SUPERVISORS,PIMA COUNTY,,130 W CONGRESS STREET,TUCSON,AZ,85701,,,large lots/newer homes/middle to upper income/bird watching hiking area/remote,,,,,,,,,,,,,,,,,,,,,,,,
125,Mangas,P1R350052,New Mexico,NM,Grant,HUD,Mangas,,,,,Purple,2,Y,0,12,30,Private Wells,N,Y,N,,,,,,Y,N,,N,,N,,,,,N,,Individual septic systems,Y,,N,,30,1,30,1,0,0,0,0,N,N,New water source and new distribution system.,Water,100000,  ,,"Local community is lacking in financial, managerial, and technical capacity.",Y,"Financial, managerial, technical",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Sherman,P1R350081,New Mexico,NM,Grant,HUD,Sherman,,,,,Purple,2,Y,0,41,90,Private Wells,N,Y,N,,,,,,Y,N,,N,,N,,,,,N,,Individual septic tanks,Y,,N,,90,1,90,1,0,0,0,0,N,N,New water source and new distribution system.,Water,210000,  ,,"Local community is lacking in financial, managerial, and technical capacity.",Y,"Financial, managerial, technical",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Firestone Gardens,P1R040067,Arizona,AZ,Santa Cruz,HUD,Firestone Gardens,,,,,Purple,2,Y,19,19,50,Private Wells,N,Y,N,,,CITY OF NOGALES WATER,DW059,,N,N,unpermitted on site systems,N,,N,,,,,N,,onsite,N,failing unpermitted systems,N,,50,1,50,1,50,1,50,1,Y,N,water and sewer system,Combination,8000000,  ,,"Low income, needs grants",N,,income/closing septics,DAHL,MARY,County,SANTA CRUZ DEV DIR,SANTA CRUZ CO,mdahl@santacruzcountyaz.gov,275 RIO RICO DRIVE,RIO RICO,AZ,85648,(520) 375-7930,,some unpermitted wells and septics/short term residents,,,,,,,,,,,,,,,,,,,,,,,,
138,Artesia,P1R040014,Arizona,AZ,Graham,HUD,Artesia,,,,,Gray,5,Y,0,0,318,,N,N,N,,,,,,N,N,,N,,N,,,,,N,,,N,,N,,0,0,0,0,0,0,0,0,N,N,,,0,  ,,,N,, ,,,,,GRAHAM COUNTY,,921 THATCHER BLVD,SAFFORD,AZ,85546,(928) 428-0140,,Not a census place - unknown to County,,,,,,,,,,,,,,,,,,,,,,,,
139,Bonita/Fort Grant,P1R040015,Arizona,AZ,Graham,HUD,Bonita/Fort Grant,,,,,Gray,5,Y,0,0,981,,N,N,N,,,,,,N,N,,N,,N,,,,,N,,,N,,N,,0,0,0,0,0,0,0,0,N,N,,,0,  ,,,N,, ,,,,,GRAHAM COUNTY,,921 THATCHER BLVD,SAFFORD,AZ,85546,(928) 428-0140,,AZ Ghost Town/Former Calvery Fort/Game and Fish habitat area,,,,,,,,,,,,,,,,,,,,,,,,
140,Lonestar,P1R040019,Arizona,AZ,Graham,HUD,Lonestar,,,,,Gray,5,Y,0,0,1,,N,N,N,,,,,,N,N,,N,,N,,,,,N,,,N,,N,,0,0,0,0,0,0,0,0,N,N,,,0,  ,,,N,, ,,,,,GRAHAM COUNTY,,921 THATCHER BLVD,SAFFORD,AZ,85546,(928) 428-0140,,open range/old mining area,,,,,,,,,,,,,,,,,,,,,,,,
143,Carmen,P1R040064,Arizona,AZ,Santa Cruz,HUD,Carmen,,,,,Purple,2,Y,223,152,569,Private Wells,Y,Y,N,,,CITY OF TUCSON,,Private wells,Y,N,unpermitted on site systems,Y,unpermitted on site systems,N,,,CITY OF TUCSON,,N,,on site,N,failing unpermitted systems,N,,150,0.263620387,150,0.263620387,150,0.263620387,150,0.263620387,N,N,water and sewer system,Combination,20000000,  ,,"remote, large lots, state park,",N,,remote/income/state lands,DAHL,MARY,County,SANTA CRUZ DEV DIR,SANTA CRUZ CO,mdahl@santacruzcountyaz.gov,275 RIO RICO DRIVE,RIO RICO,AZ,85648,(520) 375-7930,,"tourist location for old Mission, remote area/Carmen and Tumaconcari are CDP together",,,,,,,,,,,,,,,,,,,,,,,,
144,Tumacacori,P1R040073,Arizona,AZ,Santa Cruz,HUD,Tumacacori,,,,,Purple,2,Y,50,50,393,Private Wells,Y,Y,N,,,CITY OF TUCSON,,Private wells,N,N,unpermitted on site systems,Y,unpermitted on site systems,N,,,CITY OF TUCSON,,N,,onsite,N,Some on site not permitted,N,,393,1,393,1,150,0.381679389,150,0.381679389,N,N,water and sewer system,Combination,20000000,  ,,"remote, large lots, state park,",N,,remote/income/state lands,DAHL,MARY,County,SANTA CRUZ DEV DIR,SANTA CRUZ CO,mdahl@santacruzcountyaz.gov,275 RIO RICO DRIVE,RIO RICO,AZ,85648,(520) 375-7930,,"tourist location for old Mission, remote area/Carmen and Tumaconcari are CDP together",,,,,,,,,,,,,,,,,,,,,,,,
145,The Rivers,P1R350017,New Mexico,NM,Catron,HUD,The Rivers,,,,,Gray,5,Y,0,0,0,,N,N,N,,,,,,N,N,,N,,N,,,,,N,,,N,,N,,0,0,0,0,0,0,0,0,N,N,,,0,  ,,,N,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Gila River Indian Community,P1R040030,Arizona,AZ,Maricopa,Colonia does not exist-Duplicated in P1 Report,Colonia does not exist-Duplicated in P1 Report,,,,,,99,Y,0,0,0,,N,N,N,,,,,,N,N,,N,,N,,,,,N,,,N,,N,,0,0,0,0,0,0,0,0,N,N,,,0,  ,,,N,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Horse Springs,P1R350009,New Mexico,NM,Catron,HUD,Horse Springs,,,,,Purple,2,Y,23,23,90,Private Wells,N,Y,N,,,,,,N,N,,N,,N,,,,,N,,Private septic tanks,Y,,N,,90,1,90,1,0,0,0,0,N,N,New water source and new distribution system.,Water,245000,  ,,"Local community is lacking in financial, managerial, and technical capacity.",Y,"Financial, managerial, technical","Low customer base, high cost, low capacity",FLETCHER,KATE,County,INTERIM COUNTY MANAGER,CATRON COUNTY,kate.fletcher@catroncountynm.gov,,,,,(575) 533-6423,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Middle Frisco,P1R350012,New Mexico,NM,Catron,HUD,Middle Frisco,,,,,Purple,2,Y,29,29,88,Private Wells,N,Y,N,,,,,,Y,N,,N,,N,,,,,N,,Private septic tanks,Y,,N,,88,1,88,1,0,0,0,0,N,N,New water source and new distribution system.,Water,245000,  ,,"Local community is lacking in financial, managerial, and technical capacity.",Y,"Financial, managerial, technical","Low customer base, high cost, low capacity",FLETCHER,KATE,County,INTERIM COUNTY MANAGER,CATRON COUNTY,kate.fletcher@catroncountynm.gov,,,,,(575) 533-6423,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Lower Frisco,P1R350010,New Mexico,NM,Catron,HUD,Lower Frisco,,,,,Purple,2,Y,15,15,60,Private Wells,N,Y,N,,,,,,Y,N,,N,,N,,,,,N,,Private septic tanks,Y,,N,,60,1,60,1,0,0,0,0,N,N,New water source and new distribution system.,Water,155000,  ,,"Local community is lacking in financial, managerial, and technical capacity.",Y,"Financial, managerial, technical","Low customer base, high cost, low capacity",FLETCHER,KATE,County,INTERIM COUNTY MANAGER,CATRON COUNTY,kate.fletcher@catroncountynm.gov,,,,,(575) 533-6423,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Cruzville,P1R350006,New Mexico,NM,Catron,HUD,Cruzville,,,,,Purple,2,Y,30,30,76,Private Wells,N,Y,N,,,,,,N,N,,N,,N,,,,,N,,Private septic tanks,Y,,N,,76,1,76,1,0,0,0,0,N,N,"Plan, design and construction of a water system to include well, distribution and storage",Water,500000,10000,Higher,"This community needs to develop the financial, technical and managerial capacity to develop, manage and operate a public utility",Y,Develop TMF capacity,"Lack of capacity to develop, manage and operate a public utility",FLETCHER,KATE,County,INTERIM COUNTY MANAGER,CATRON COUNTY,kate.fletcher@catroncountynm.gov,,,,,(575) 533-6423,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Five Bar Ranch,P1R350007,New Mexico,NM,Catron,HUD,Five Bar Ranch,,,,,Purple,2,Y,25,25,75,Private Wells,N,Y,N,,,,,,Y,N,,N,,N,,,,,N,,Private septic tanks,Y,,N,,75,1,75,1,0,0,0,0,N,N,"Plan, design and construction of a water system to include well, distribution and storage",Water,725000,10000,Higher,"This community needs to develop the financial, technical and managerial capacity to develop, manage and operate a public utility",Y,Develop TMF capacity,"Lack of capacity to develop, manage and operate a public utility",FLETCHER,KATE,County,INTERIM COUNTY MANAGER,CATRON COUNTY,kate.fletcher@catroncountynm.gov,,,,,(575) 533-6423,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Apache Creek,P1R350002,New Mexico,NM,Catron,HUD,Apache Creek,,,,,Purple,2,Y,75,0,200,Private Wells,N,Y,N,,,RESERVE WATER WORKS,DW190,,Y,N,,N,,N,,,,,N,,Private septic tanks,Y,,N,,200,1,200,1,0,0,0,0,N,N,"Plan, design and construct a public water system to include source, storage, treatment and distribution",Water,3100000,10000,Higher,"This community needs to develop the financial, technical and managerial capacity to develop, manage and operate a public utility",Y,Develop TMF capacity,"Lack of capacity to develop, manage and operate a public utility",DE LA GARZA,OLIVER,Agency,OMBUDSMAN,TX SECRETARY OF STATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Apache Park,P1R350003,New Mexico,NM,Catron,HUD,Apache Park,,,,,Gray,5,Y,0,0,0,,N,N,N,,,,,,N,N,,N,,N,,,,,N,,,N,,N,,0,0,0,0,0,0,0,0,N,N,,,0,  ,,There's no record of this colonia.,N,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Drysdale,P1R040081,Arizona,AZ,Yuma,HUD,Drysdale,,,,,Purple,2,Y,0,0,500,Private Wells,Y,Y,N,,,CITY OF YUMA,DW076,,N,Y,individual wells,Y,Maybe,N,,,,,N,,Septics/Cesspools,N,age of systems,Y,cesspools,500,1,500,1,0,0,0,0,N,N,PROPERTY OWNERS,Combination,17000000,  ,,,N,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Riverside,P1R350069,New Mexico,NM,Grant,HUD,Riverside,,,,,Purple,2,Y,0,14,37,Private Wells,N,Y,N,,,SILVER CITY WATER SYSTEM,DW214,,U,U,,N,,N,,,SILVER CITY WASTEWATER SYSTEM,WW062,N,,Individual septic systems,U,,N,,37,1,37,1,0,0,0,0,N,N,New water source and new distribution system.,Water,100000,  ,,"Local community is lacking in financial, managerial, and technical capacity.",Y,"Financial, managerial, technical",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Wall Lane,P1R040101,Arizona,AZ,Yuma,HUD,Wall Lane,,,,,Red,1,Y,0,0,250,Private Wells,N,Y,N,,,CITY OF YUMA,DW076,,N,N,"failing septics, threaten well sources",Y,septic pollution,N,,,CITY OF YUMA,WW033,N,,On-site Septics,N,un-permitted,Y,cesspools,250,1,250,1,0,0,0,0,N,N,PROPERTY OWNERS,Combination,30000000,  ,,,Y,,"Low income, City does not have funds",NGAI,NANCY,City,COMMUNITY PLANNING COORDINATOR,YUMA COUNTY DEPARTMENT OF DEVELOPMENT SERVICES,nancy.ngai@yumacountyaz.gov,2351 W. 26TH STREET,YUMA,AZ,85361,(928)817-5156 ,(928) 941-2312,,,,,,,,,,,,,,,,,,,,,,,,,
194,Padre Ranchitos,P1R040086,Arizona,AZ,Yuma,HUD,Padre Ranchitos,,,,,Purple,2,Y,0,0,300,Private Wells,N,Y,N,,,CITY OF YUMA,DW076,,N,N,,Y,,N,,,,,N,,On-site Septic,N,,Y,high groundwater,300,1,300,1,0,0,0,0,N,N,I.D.,Combination,15000000,  ,,,N,,ADOH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Klondike,P1R040018,Arizona,AZ,Graham,HUD,Klondike,,,,,Purple,2,Y,0,0,12,,N,Y,N,,,CITY OF WILLCOX,DW075,,Y,Y,,Y,"arsenic, mine run off",N,,,,,N,,On site,N,,N,,12,1,12,1,0,0,0,0,N,N,water and sewer system,Combination,10000000,  ,,Not needed due to ghost town and state lands`,N,,topography and lack of need,,,,,GRAHAM COUNTY,,921 THATCHER BLVD,SAFFORD,AZ,85546,(928) 428-0140,,"AZ Ghost Town, large ranches for sale/included in Willcox population",,,,,,,,,,,,,,,,,,,,,,,,
198,Sanchez,P1R040022,Arizona,AZ,Graham,HUD,Sanchez,,,,,Gray,5,Y,0,0,1,,N,N,N,CITY OF SAFFORD,DW067,,,,N,N,,N,,N,,,,,N,,,N,,N,,0,0,0,0,0,0,0,0,N,N,,,0,  ,,,N,, ,,,,,GRAHAM COUNTY,,921 THATCHER BLVD,SAFFORD,AZ,85546,(928) 428-0140,,AZ Ghost Town/BLM land/open grazing,,,,,,,,,,,,,,,,,,,,,,,,
199,Elgin,P1R040066,Arizona,AZ,Santa Cruz,HUD,Elgin,,,,,Purple,2,Y,18,16,288,Private Wells,Y,Y,N,,,,,Private wells,Y,N,unpermitted on site systems,N,,N,,,SONITA,,N,,on site,N,failing unpermitted systems,N,,161,0.559027778,161,0.559027778,161,0.559027778,161,0.559027778,N,N,water and sewer system,Combination,45000000,  ,,"wine country, large lots/distance for other areas",N,,distance/topography,DAHL,MARY,County,SANTA CRUZ DEV DIR,SANTA CRUZ CO,mdahl@santacruzcountyaz.gov,275 RIO RICO DRIVE,RIO RICO,AZ,85648,(520) 375-7930,,Commercial wine growing area/tourism/large ranches and winery/higher income area,,,,,,,,,,,,,,,,,,,,,,,,
202,Lost Cabin,P2R350005,New Mexico,NM,Catron,RCAP Staff,,,,,,Purple,2,Y,0,13,14,Private Wells,N,Y,N,,,,,,Y,N,,N,,N,,,,,N,,Private septic tanks,Y,,N,,14,1,14,1,0,0,0,0,N,N,New water source and new distribution system.,Water,100000,  ,,"Local community is lacking in financial, managerial, and technical capacity.",Y,"Financial, managerial, technical","Low customer base, high cost, low capacity",FLETCHER,KATE,County,INTERIM COUNTY MANAGER,CATRON COUNTY,kate.fletcher@catroncountynm.gov,,,,,(575) 533-6423,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Old Thomas Place,P2R350006,New Mexico,NM,Catron,RCAP Staff,,,,,,Purple,2,Y,0,2,6,Private Wells,N,Y,N,,,,,,Y,N,,N,,N,,,,,N,,Private septic tanks,Y,,N,,6,1,6,1,0,0,0,0,N,N,New water source and new distribution system.,Water,100000,  ,,"Local community is lacking in financial, managerial, and technical capacity.",Y,"Financial, managerial, technical","Low customer base, high cost, low capacity",FLETCHER,KATE,County,INTERIM COUNTY MANAGER,CATRON COUNTY,kate.fletcher@catroncountynm.gov,,,,,(575) 533-6423,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Pie Town,P2R350008,New Mexico,NM,Catron,RCAP Staff,,,,,,Purple,2,Y,0,34,32,Private Wells,N,Y,N,,,,,,Y,N,,N,,N,,,,,N,,Private septic tanks,Y,,N,,32,1,32,1,0,0,0,0,N,N,New water source and new distribution system.,Water,100000,  ,,"Local community is lacking in financial, managerial, and technical capacity.",Y,"Financial, managerial, technical","Low customer base, high cost, low capacity",FLETCHER,KATE,County,INTERIM COUNTY MANAGER,CATRON COUNTY,kate.fletcher@catroncountynm.gov,,,,,(575) 533-6423,,,,,,,,,,,,,,,,,,,,,,,,,,
205,The Last Frontier,P2R350014,New Mexico,NM,Catron,RCAP Staff,,,,,,Purple,2,Y,0,6,24,Private Wells,N,Y,N,,,,,,Y,N,,N,,N,,,,,N,,Private septic tanks,Y,,N,,24,1,24,1,0,0,0,0,N,N,New water source and new distribution system.,Water,100000,  ,,"Local community is lacking in financial, managerial, and technical capacity.",Y,"Financial, managerial, technical","Low customer base, high cost, low capacity",FLETCHER,KATE,County,INTERIM COUNTY MANAGER,CATRON COUNTY,kate.fletcher@catroncountynm.gov,,,,,(575) 533-6423,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Omega,P2R350007,New Mexico,NM,Catron,RCAP Staff,,,,,,Gray,5,Y,0,0,0,,N,N,N,,,,,,N,N,,N,,N,,,,,N,,,N,,N,,0,0,0,0,0,0,0,0,N,N,,,0,  ,,,N,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,TeePee Ranch,P2R350012,New Mexico,NM,Catron,RCAP Staff,,,,,,Gray,5,Y,0,0,0,,N,N,N,,,,,,N,N,,N,,N,,,,,N,,,N,,N,,0,0,0,0,0,0,0,0,N,N,,,0,  ,,,N,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Top of the World,P2R350015,New Mexico,NM,Catron,RCAP Staff,,,,,,Gray,5,Y,0,0,0,,N,N,N,,,,,,N,N,,N,,N,,,,,N,,,N,,N,,0,0,0,0,0,0,0,0,N,N,,,0,  ,,,N,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Franklin Farms,P2R350035,New Mexico,NM,Luna,RCAP Staff,,,,,,Gray,5,Y,0,0,0,,N,N,N,,,,,,N,N,,N,,N,,,,,N,,,N,,N,,0,0,0,0,0,0,0,0,N,N,,,0,  ,,,N,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Datil,P2R350001,New Mexico,NM,Catron,RCAP Staff,Datil,,,,,Purple,2,Y,0,17,50,Private Wells,N,Y,N,,,,,,Y,N,,N,,N,,,,,N,,Private septic tanks,Y,,N,,50,1,50,1,0,0,0,0,N,N,"Plan, design and construction of a water system to include well, distribution and storage",Water,1650000,10000,Higher,"This community needs to develop the financial, technical and managerial capacity to develop, manage and operate a public utility",Y,Develop TMF capacity,"Lack of capacity to develop, manage and operate a public utility",FLETCHER,KATE,County,INTERIM COUNTY MANAGER,CATRON COUNTY,kate.fletcher@catroncountynm.gov,,,,,(575) 533-6423,,,,,,,,,,,,,,,,,,,,,,,,,,
230,"Cochise County, North West",P1R040077,Arizona,AZ,Yuma,Colonia does not Exist,Colonia does not Exist,,,,,,99,Y,0,0,0,,N,N,N,,,,,,N,N,,N,,N,,,,,N,,,N,,N,,0,0,0,0,0,0,0,0,N,N,,,0,  ,,,N,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Unnamed 1,P1R350091,New Mexico,NM,Eddy,Colonia does not Exist,Colonia does not Exist,,,,,,99,Y,0,0,0,,N,N,N,,,,,,N,N,,N,,N,,,,,N,,,N,,N,,0,0,0,0,0,0,0,0,N,N,,,0,  ,,,N,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Unnamed 1,P1R350092,New Mexico,NM,Hidalgo,Colonia does not Exist,Colonia does not Exist,,,,,,99,Y,0,0,0,,N,N,N,,,,,,N,N,,N,,N,,,,,N,,,N,,N,,0,0,0,0,0,0,0,0,N,N,,,0,  ,,,N,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
