objectid,col_name,col_uid,st_name,st_abb,cnty_name,datasource,src_name,alt_name,alt_name2,alt_name3,mnumber,color_clas,tot_prisco,rec_complt,numlots,numoccupie,estimatedp,wtr_srcdes,wtr_hauled,priv_wells,wc_exists,wc_wtrcomm,dwuid,wc_nearwcom,dwuid_near,os_otrsupp,is_srcadeq,wc_adeq,wc_adeqdes,wc_hlth,wc_hlthdes,ww_public,ww_wwcomm,wwuid,ww_nearwwcom,wwuid_near,ww_prvser,ww_prvnm,ww_other,ww_adeq,ww_adeqdes,ww_hlth,ww_hlthdes,ppl_nowat,ppl_nowat_r,ppl_noww,ppl_noww_r,ppl_yeswat,ppl_yeswat_r,ppl_yesww,ppl_yesww_r,allpotable,infloodp,fac_propos,fac_type,fac_cst,fac_avgcst,fac_capcst,fac_comcap,fac_ta,fac_tades,fac_feasib,con_last,con_first,con_type,con_title,con_org,con_email,con_add,con_city,con_state,con_zip,con_phone,con_mobile,con_notes,con_last2,con_first2,con_type2,con_title2,con_org2,con_email2,con_add2,con_city2,con_state2,con_zip2,con_phone2,con_mobil2,con_notes2,created_user,created_date,last_edited_user,last_edited_date,fy2018_project,fy2019_project,fy2020_project,fy2021_project,fy2022_project,Unnamed: 98,Unnamed: 99
11,Las Villas Del Valle,P1R480939,Texas,TX,Hidalgo,HUD,Las Villas Del Valle,,,,M1080887,Blue,4,Y,32,30,90,Public Water System,N,N,Y,NORTH ALAMO WSC,DW160,,,,Y,Y,,N,,N,,,NORTH ALAMO WSC,WW099,N,,,Y,,N,,0,0,90,1,90,1,0,0,Y,Y,,,0,  ,,,N,, ,AGUIRRE,JESSE,Utility,ASSISTANT GENERAL MANAGER,NORTH ALAMO WSC,jaguirre@nawsc.com,420 S. DOOLITTLE RD.,EDINBURG,TX,78542,(956) 383-1623,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Palm Creek,P1R481079,Texas,TX,Hidalgo,HUD,Palm Creek,,,,M1080907,Blue,4,Y,47,47,141,Public Water System,N,N,Y,AGUA SUD,DW002,,,,Y,Y,,N,,N,,,AGUA SUD,WW083,N,,,Y,,N,,0,0,141,1,141,1,0,0,Y,N,,,0,  ,,,N,, ,PEREZ,PAMELA,Utility,CUSTOMER SERVICE SUPERVISOR,AGUA SUD,pperez@aguasud.com,3126 N ABRAM RD.,PALMVIEW,TX,78578,(956) 585-2465,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Sunny Brook,P1R481276,Texas,TX,Hidalgo,HUD,Sunny Brook,,,,M1080917,Blue,4,Y,42,38,152,Public Water System,N,N,Y,NORTH ALAMO WSC,DW160,,,,Y,Y,,N,,N,,,NORTH ALAMO WSC,WW099,N,,,Y,,N,,0,0,152,1,152,1,0,0,Y,Y,,,0,  ,,,N,, ,AGUIRRE,JESSE,Utility,ASSISTANT GENERAL MANAGER,NORTH ALAMO WSC,jaguirre@nawsc.com,420 S. DOOLITTLE RD.,EDINBURG,TX,78542,(956) 383-1623,,,,,,,,,,,,,,,,,,,,,,,,,,
14,The Stables,P1R481288,Texas,TX,Hidalgo,HUD,The Stables,,,,M1080920,Blue,4,Y,18,17,51,Public Water System,N,N,Y,NORTH ALAMO WSC,DW160,,,,Y,Y,,N,,N,,,NORTH ALAMO WSC,WW099,N,,,Y,,N,,0,0,51,1,51,1,0,0,Y,Y,,,0,  ,,,N,, ,AGUIRRE,JESSE,Utility,ASSISTANT GENERAL MANAGER,NORTH ALAMO WSC,jaguirre@nawsc.com,420 S. DOOLITTLE RD.,EDINBURG,TX,78542,(956) 383-1623,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Thirty-Six Palms Terrace,P1R481289,Texas,TX,Hidalgo,HUD,Thirty-Six Palms Terrace,,,,M1080921,Blue,4,Y,25,20,63,Public Water System,N,N,Y,NORTH ALAMO WSC,DW160,,,,Y,Y,,N,,N,,,NORTH ALAMO WSC,WW099,N,,,Y,,N,,0,0,63,1,63,1,0,0,Y,N,,,0,  ,,,N,, ,AGUIRRE,JESSE,Utility,ASSISTANT GENERAL MANAGER,NORTH ALAMO WSC,jaguirre@nawsc.com,420 S. DOOLITTLE RD.,EDINBURG,TX,78542,(956) 383-1623,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Wisconsin Road / Dillon Road,P1R481390,Texas,TX,Hidalgo,HUD,Wisconsin Road / Dillon Road,,,,M1080928,Blue,4,Y,7,7,23,Public Water System,N,N,Y,NORTH ALAMO WSC,DW160,,,,Y,Y,,N,,N,,,NORTH ALAMO WSC,WW099,N,,,Y,,N,,0,0,23,1,23,1,0,0,Y,N,,,0,  ,,,N,, ,AGUIRRE,JESSE,Utility,ASSISTANT GENERAL MANAGER,NORTH ALAMO WSC,jaguirre@nawsc.com,420 S. DOOLITTLE RD.,EDINBURG,TX,78542,(956) 383-1623,,,,,,,,,,,,,,,,,,,,,,,,,,
17,EVERGREEN EST,P1R480766,Texas,TX,Hidalgo,HUD,EVERGREEN EST,,,,M1080870,Blue,4,Y,27,27,72,Public Water System,N,N,Y,NORTH ALAMO WSC,DW160,,,,Y,Y,,N,,N,,,NORTH ALAMO WSC,WW099,N,,,Y,,N,,0,0,72,1,72,1,0,0,Y,Y,,,0,  ,,,N,, ,AGUIRRE,JESSE,Utility,ASSISTANT GENERAL MANAGER,NORTH ALAMO WSC,jaguirre@nawsc.com,420 S. DOOLITTLE RD.,EDINBURG,TX,78542,(956) 383-1623,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Goodwin Acres #1,P1R480796,Texas,TX,Hidalgo,HUD,Goodwin Acres #1,,,,M1080872,Blue,4,Y,24,30,127,Public Water System,N,N,Y,AGUA SUD,DW002,,,,Y,Y,,N,,N,,,AGUA SUD,WW083,N,,,Y,,N,,0,0,127,1,127,1,0,0,Y,N,,,0,  ,,,N,, ,PEREZ,PAMELA,Utility,CUSTOMER SERVICE SUPERVISOR,AGUA SUD,pperez@aguasud.com,3126 N ABRAM RD.,PALMVIEW,TX,78578,(956) 585-2465,,,,,,,,,,,,,,,,,,,,,,,,,,
19,La Blanca Estates,P1R480883,Texas,TX,Hidalgo,HUD,La Blanca Estates,,,,M1080881,Purple,2,Y,97,82,240,Public Water System,N,N,Y,NORTH ALAMO WSC,DW160,,,,Y,Y,,N,,N,,,NORTH ALAMO WSC,WW099,N,,onsite,N,"Avg lot .2 AC, likely inadequate for septic",N,,0,0,240,1,240,1,0,0,Y,Y,CU Estimated Wastewater Collection/Treatment,Wastewater,2117732,  ,,See Utility Capacity,Y,T/A subject to USDA Funding Application,Distance from nearest treatment facility,AGUIRRE,JESSE,Utility,ASSISTANT GENERAL MANAGER,NORTH ALAMO WSC,jaguirre@nawsc.com,420 S. DOOLITTLE RD.,EDINBURG,TX,78542,(956) 383-1623,,,RUBIO,OSCAR,Utility,WASTEWATER MANAGER,NORTH ALAMO WSC,orubio@nawsc.com,420 S. DOOLITTLE RD.,EDINBURG,TX,78542,(956) 383-1618,,,,,,,,,,,,,
20,Zambrows,P1R481396,Texas,TX,Hidalgo,HUD,Zambrows,,,,M1080930,Purple,2,Y,14,14,58,Public Water System,N,N,Y,NORTH ALAMO WSC,DW160,,,,Y,Y,,N,,N,,,NORTH ALAMO WSC,WW099,N,,onsite,N,"Lots to W of Zamora/Zamorano St small at .25 to .3 AC, lots to E may be adequate for OSSF",N,,0,0,58,1,58,1,0,0,Y,N,CU Estimated Wastewater Collection/Treatment,Wastewater,361564,  ,,See Utility Capacity,Y,T/A subject to USDA Funding Application,Distance from nearest treatment facility,AGUIRRE,JESSE,Utility,ASSISTANT GENERAL MANAGER,NORTH ALAMO WSC,jaguirre@nawsc.com,420 S. DOOLITTLE RD.,EDINBURG,TX,78542,(956) 383-1623,,,RUBIO,OSCAR,Utility,WASTEWATER MANAGER,NORTH ALAMO WSC,orubio@nawsc.com,420 S. DOOLITTLE RD.,EDINBURG,TX,78542,(956) 383-1618,,,,,,,,,,,,,
21,CHAPA 2 (SL9),P1R480638,Texas,TX,Hidalgo,HUD,CHAPA 2 (SL9),,,,M1080860,Purple,2,Y,99,40,169,Public Water System,N,N,Y,NORTH ALAMO WSC,DW160,,,,Y,Y,,N,,N,,,CITY OF WESLACO,WW097,N,,onsite,N,"Older smaller lots, with likely inadequate onsite",N,,0,0,169,1,169,1,0,0,Y,Y,Collection lines to Weslaco,Wastewater,1148571,  ,,See Utility Capacity,Y,T/A subject to USDA Funding Application,Too small for stand alone system.  Must be part of a regional system or connect to Weslaco sewer for treatment.,AGUIRRE,JESSE,Utility,ASSISTANT GENERAL MANAGER,NORTH ALAMO WSC,jaguirre@nawsc.com,420 S. DOOLITTLE RD.,EDINBURG,TX,78542,(956) 383-1623,,,SALINAS,DAVID,Utility,PUBLIC UTILITIES DIRECTOR,CITY OF WESLACO,dsalinas@weslacotx.gov,1912 JOE STEPHENS AVE.,WESLACO,TX,78599,(956) 973-3146,,,,,,,,,,,,,
22,Dimas #1,P1R480725,Texas,TX,Hidalgo,HUD,Dimas #1,,,,M1080865,Purple,2,Y,12,12,42,Public Water System,N,N,Y,NORTH ALAMO WSC,DW160,,,,Y,Y,,N,,N,,,NORTH ALAMO WSC,WW099,N,,onsite,N,lot size?,N,,0,0,42,1,42,1,0,0,Y,N,CU Estimated Wastewater Collection/Treatment,Wastewater,310344,  ,,See Utility Capacity,Y,T/A subject to USDA Funding Application,Distance from nearest treatment facility,AGUIRRE,JESSE,Utility,ASSISTANT GENERAL MANAGER,NORTH ALAMO WSC,jaguirre@nawsc.com,420 S. DOOLITTLE RD.,EDINBURG,TX,78542,(956) 383-1623,,,RUBIO,OSCAR,Utility,WASTEWATER MANAGER,NORTH ALAMO WSC,orubio@nawsc.com,420 S. DOOLITTLE RD.,EDINBURG,TX,78542,(956) 383-1618,,,,,,,,,,,,,
23,Vanadium,P1R350087,New Mexico,NM,Grant,HUD,Vanadium,,,,,Blue,4,Y,0,27,90,Public Water System,N,N,Y,HANOVER MDWCA,DW111,,,,N,N,,N,,N,,,,,N,,Individual septic systems,Y,,N,,0,0,90,1,90,1,0,0,N,N,Part of the Hanover MDWCA water system,,0,  ,,,N,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,E Salinas,P1R480734,Texas,TX,Hidalgo,HUD,E Salinas,,,,M1080935,Blue,4,Y,0,68,278,Public Water System,N,N,Y,CITY OF DONNA,DW036,,,,Y,Y,,N,,Y,CITY OF DONNA,WW086,,,N,,,Y,,N,,0,0,0,0,278,1,278,1,N,N,,,0,  ,,,N,, ,GONZALEZ,JONAS,City,WATER / WASTEWATER LIASISON,CITY OF DONNA,jgonzalez@cityofdonna.org,114 S. 13TH ST.,DONNA,TX,78537,(956) 464-7861,,Question on location referenced by HUD colonia point?,,,,,,,,,,,,,,,,,,,,,,,,
25,MILE 16,P1R481000,Texas,TX,Hidalgo,HUD,MILE 16,,,,M1080898,Blue,4,Y,0,48,194,Public Water System,N,N,Y,NORTH ALAMO WSC,DW160,,,,Y,Y,,N,,N,,,CITY OF ELSA,WW088,N,,onsite,Y,,N,,0,0,194,1,194,1,0,0,Y,N,,,0,  ,,,N,, ,AGUIRRE,JESSE,Utility,ASSISTANT GENERAL MANAGER,NORTH ALAMO WSC,jaguirre@nawsc.com,420 S. DOOLITTLE RD.,EDINBURG,TX,78542,(956) 383-1623,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Arroyo Park,P1R480536,Texas,TX,Hidalgo,HUD,Arroyo Park,,,,M1080854,Blue,4,Y,0,15,58,Public Water System,N,N,Y,CITY OF ALAMO,DW030,,,,Y,Y,,N,,N,,,CITY OF ALAMO,WW084,N,,onsite,Y,,N,,0,0,58,1,58,1,0,0,Y,Y,,,0,  ,,,N,, ,OZUNA,LUCIANNO,City,PUBLIC WORKS DIRECTOR,CITY OF ALAMO,jvillareal@alamotexas.org,803 S TOWER ROAD,ALAMO,TX,78516,(956) 787-8321,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Los Tanquecitos II,P1R481736,Texas,TX,Webb,HUD,Los Tanquecitos II,,,,M2400062,Blue,4,Y,0,26,105,Public Water System,N,N,Y,CITY OF LAREDO,DW052,,,,Y,Y,,N,,N,,,CITY OF LAREDO,WW110,N,,onsite,Y,,N,,0,0,105,1,105,1,0,0,Y,N,,,0,  ,,,N,, ,RODRIGUEZ,TOMAS,City,PUBLIC UTILITY DIRECTOR,CITY OF LAREDO,trodriguez@ci.laredo.tx.us,5816 DAUGHERTY,LAREDO,TX,78040,(956) 721-2000,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Rosedale,P1R350071,New Mexico,NM,Grant,HUD,Rosedale,,,,,Purple,2,Y,0,101,310,Public Water System,N,N,Y,ROSEDALE MDWCA,DW195,,,,N,N,,N,,N,,,,,N,,Individual septic tank systems,Y,,N,,0,0,310,1,310,1,0,0,N,N,New water source and new distribution system.,Water,750000,  ,,"Local community is lacking in financial, managerial, and technical capacity.",Y,"Financial, managerial, technical",,FLEMING,TOM,,ADMINISTRATIVE CONTACT,ROSEDALE MDWCA,,P.O. BOX 5208,SILVER CITY,NM,88062,(575) 532-9197,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Piquito De Oro,P1R481110,Texas,TX,Hidalgo,HUD,Piquito De Oro,,,,M1080908,Blue,4,Y,177,87,305,Public Water System,N,N,Y,NORTH ALAMO WSC,DW160,,,,Y,Y,,N,,N,,,NORTH ALAMO WSC,WW099,N,,onsite,Y,,N,,0,0,305,1,305,1,0,0,Y,N,"N/A, recent subdivision w/approved septic tanks.",,0,  ,,,N,, ,AGUIRRE,JESSE,Utility,ASSISTANT GENERAL MANAGER,NORTH ALAMO WSC,jaguirre@nawsc.com,420 S. DOOLITTLE RD.,EDINBURG,TX,78542,(956) 383-1623,,,RUBIO,OSCAR,Utility,WASTEWATER MANAGER,NORTH ALAMO WSC,orubio@nawsc.com,420 S. DOOLITTLE RD.,EDINBURG,TX,78542,(956) 383-1618,,,,,,,,,,,,,
30,Chapa,P1R480635,Texas,TX,Hidalgo,HUD,Chapa,,,,M1080859,Purple,2,Y,40,28,98,Public Water System,N,N,Y,NORTH ALAMO WSC,DW160,,,,Y,Y,,N,,N,,,NORTH ALAMO WSC,WW099,N,,onsite,Y,,N,,0,0,98,1,98,1,0,0,Y,N,CU Estimated Wastewater Collection/Treatment,Wastewater,721136,  ,,See Utility Capacity,Y,T/A subject to USDA Funding Application,Distance from nearest treatment facility,AGUIRRE,JESSE,Utility,ASSISTANT GENERAL MANAGER,NORTH ALAMO WSC,jaguirre@nawsc.com,420 S. DOOLITTLE RD.,EDINBURG,TX,78542,(956) 383-1623,,,RUBIO,OSCAR,Utility,WASTEWATER MANAGER,NORTH ALAMO WSC,orubio@nawsc.com,420 S. DOOLITTLE RD.,EDINBURG,TX,78542,(956) 383-1618,,,,,,,,,,,,,
31,Cinco Hermanas,P1R480645,Texas,TX,Hidalgo,HUD,Cinco Hermanas,,,,M1080861,Purple,2,Y,22,20,70,Public Water System,N,N,Y,NORTH ALAMO WSC,DW160,,,,Y,Y,,N,,N,,,NORTH ALAMO WSC,WW099,N,,onsite,Y,,N,,0,0,70,1,70,1,0,0,Y,N,CU Estimated Wastewater Collection/Treatment,Wastewater,517240,  ,,See Utility Capacity,Y,T/A subject to USDA Funding Application,Distance from nearest treatment facility,AGUIRRE,JESSE,Utility,ASSISTANT GENERAL MANAGER,NORTH ALAMO WSC,jaguirre@nawsc.com,420 S. DOOLITTLE RD.,EDINBURG,TX,78542,(956) 383-1623,,,RUBIO,OSCAR,Utility,WASTEWATER MANAGER,NORTH ALAMO WSC,orubio@nawsc.com,420 S. DOOLITTLE RD.,EDINBURG,TX,78542,(956) 383-1618,,,,,,,,,,,,,
32,High Chapparral,P1R480828,Texas,TX,Hidalgo,HUD,High Chapparral,,,,M1080878,Blue,4,Y,14,14,50,Public Water System,N,N,Y,NORTH ALAMO WSC,DW160,,,,Y,Y,,N,,N,,,CITY OF ALAMO,WW084,N,,,Y,,N,,0,0,50,1,50,1,0,0,Y,N,,,0,  ,,,N,, ,AGUIRRE,JESSE,Utility,ASSISTANT GENERAL MANAGER,NORTH ALAMO WSC,jaguirre@nawsc.com,420 S. DOOLITTLE RD.,EDINBURG,TX,78542,(956) 383-1623,,,OZUNA,LUCIANNO,City,PUBLIC WORKS DIRECTOR,CITY OF ALAMO,jvillareal@alamotexas.org,803 S TOWER ROAD,ALAMO,TX,78516,(956) 787-8321,,,,,,,,,,,,,
33,N ALAMO EST,P1R481029,Texas,TX,Hidalgo,HUD,N ALAMO EST,,,,M1080902,Blue,4,Y,33,33,99,Public Water System,N,N,Y,NORTH ALAMO WSC,DW160,,,,Y,Y,,N,,N,,,CITY OF EDINBURG,WW087,N,,,Y,,N,,0,0,99,1,99,1,0,0,Y,Y,,,0,  ,,,N,, ,AGUIRRE,JESSE,Utility,ASSISTANT GENERAL MANAGER,NORTH ALAMO WSC,jaguirre@nawsc.com,420 S. DOOLITTLE RD.,EDINBURG,TX,78542,(956) 383-1623,,,MARTINEZ,ARTURO,Utility,DIRECTOR OF PUBLIC WORKS,CITY OF EDINBURG,amartinez@cityofedinburg.com,415 W. UNIVERSITY DRIVE,EDINBURG,TX,78541,(956) 388-8212,,,,,,,,,,,,,
34,R & G,P1R481124,Texas,TX,Hidalgo,HUD,R & G,,,,M1080909,Blue,4,Y,17,17,51,Public Water System,N,N,Y,NORTH ALAMO WSC,DW160,,,,Y,Y,,N,,N,,,CITY OF EDINBURG,WW087,N,,,Y,,N,,0,0,51,1,51,1,0,0,Y,Y,,,0,  ,,,N,, ,AGUIRRE,JESSE,Utility,ASSISTANT GENERAL MANAGER,NORTH ALAMO WSC,jaguirre@nawsc.com,420 S. DOOLITTLE RD.,EDINBURG,TX,78542,(956) 383-1623,,,MARTINEZ,ARTURO,Utility,DIRECTOR OF PUBLIC WORKS,CITY OF EDINBURG,amartinez@cityofedinburg.com,415 W. UNIVERSITY DRIVE,EDINBURG,TX,78541,(956) 388-8212,,,,,,,,,,,,,
35,Sherry,P1R481224,Texas,TX,Hidalgo,HUD,Sherry,,,,M1080913,Blue,4,Y,13,13,32,Public Water System,N,N,Y,NORTH ALAMO WSC,DW160,,,,Y,Y,,N,,N,,,CITY OF EDINBURG,WW087,N,,,Y,,N,,0,0,32,1,32,1,0,0,Y,Y,,,0,  ,,,N,, ,AGUIRRE,JESSE,Utility,ASSISTANT GENERAL MANAGER,NORTH ALAMO WSC,jaguirre@nawsc.com,420 S. DOOLITTLE RD.,EDINBURG,TX,78542,(956) 383-1623,,,MARTINEZ,ARTURO,Utility,DIRECTOR OF PUBLIC WORKS,CITY OF EDINBURG,amartinez@cityofedinburg.com,415 W. UNIVERSITY DRIVE,EDINBURG,TX,78541,(956) 388-8212,,,,,,,,,,,,,
36,Southport,P1R481251,Texas,TX,Hidalgo,HUD,Southport,,,,M1080915,Blue,4,Y,21,19,57,Public Water System,N,N,Y,NORTH ALAMO WSC,DW160,,,,Y,Y,,N,,N,,,CITY OF EDINBURG,WW087,N,,,Y,,N,,0,0,57,1,57,1,0,0,Y,Y,,,0,  ,,,N,, ,AGUIRRE,JESSE,Utility,ASSISTANT GENERAL MANAGER,NORTH ALAMO WSC,jaguirre@nawsc.com,420 S. DOOLITTLE RD.,EDINBURG,TX,78542,(956) 383-1623,,,MARTINEZ,ARTURO,Utility,DIRECTOR OF PUBLIC WORKS,CITY OF EDINBURG,amartinez@cityofedinburg.com,415 W. UNIVERSITY DRIVE,EDINBURG,TX,78541,(956) 388-8212,,,,,,,,,,,,,
